Date,Stock Name,Trend,Tweet
2021-11-05,VZ,1,53
2021-11-05,CRM,0,53
2021-11-05,INTC,1,53
2021-11-05,BA,1,53
2021-11-05,BX,0,53
2021-11-05,NOC,1,53
2021-11-05,PYPL,0,53
2021-11-05,ENPH,0,53
2021-11-05,NIO,0,53
2021-11-05,ZS,1,53
2021-11-05,XPEV,0,53
2021-11-08,TSLA,1,66
2021-11-08,MSFT,0,66
2021-11-08,PG,0,66
2021-11-08,META,0,66
2021-11-08,AMZN,0,66
2021-11-08,GOOG,0,66
2021-11-08,AMD,1,66
2021-11-08,AAPL,0,66
2021-11-08,NFLX,1,66
2021-11-08,TSM,1,66
2021-11-08,KO,0,66
2021-11-08,F,1,66
2021-11-08,COST,0,66
2021-11-08,DIS,0,66
2021-11-08,VZ,1,66
2021-11-08,CRM,1,66
2021-11-08,INTC,1,66
2021-11-08,BA,0,66
2021-11-08,BX,0,66
2021-11-08,NOC,0,66
2021-11-08,PYPL,1,66
2021-11-08,ENPH,1,66
2021-11-08,NIO,1,66
2021-11-08,ZS,1,66
2021-11-08,XPEV,1,66
2021-11-09,TSLA,0,42
2021-11-09,MSFT,0,42
2021-11-09,PG,1,42
2021-11-09,META,0,42
2021-11-09,AMZN,1,42
2021-11-09,GOOG,0,42
2021-11-09,AMD,0,42
2021-11-09,AAPL,1,42
2021-11-09,NFLX,1,42
2021-11-09,TSM,1,42
2021-11-09,KO,1,42
2021-11-09,F,0,42
2021-11-09,COST,1,42
2021-11-09,DIS,0,42
2021-11-09,VZ,0,42
2021-11-09,CRM,0,42
2021-11-09,INTC,0,42
2021-11-09,BA,0,42
2021-11-09,BX,1,42
2021-11-09,NOC,1,42
2021-11-09,PYPL,0,42
2021-11-09,ENPH,0,42
2021-11-09,NIO,0,42
2021-11-09,ZS,0,42
2021-11-09,XPEV,0,42
2021-11-10,TSLA,1,51
2021-11-10,MSFT,0,51
2021-11-10,PG,1,51
2021-11-10,META,0,51
2021-11-10,AMZN,0,51
2021-11-10,GOOG,0,51
2021-11-10,AMD,0,51
2021-11-10,AAPL,0,51
2021-11-10,NFLX,0,51
2021-11-10,TSM,0,51
2021-11-10,KO,1,51
2021-11-10,F,0,51
2021-11-10,COST,0,51
2021-11-10,DIS,0,51
2021-11-10,VZ,1,51
2021-11-10,CRM,0,51
2021-11-10,INTC,0,51
2021-11-10,BA,0,51
2021-11-10,BX,0,51
2021-11-10,NOC,0,51
2021-11-10,PYPL,1,51
2021-11-10,ENPH,1,51
2021-11-10,NIO,0,51
2021-11-10,ZS,0,51
2021-11-10,XPEV,0,51
2021-11-11,TSLA,0,34
2021-11-11,MSFT,1,34
2021-11-11,PG,0,34
2021-11-11,META,0,34
2021-11-11,AMZN,0,34
2021-11-11,GOOG,0,34
2021-11-11,AMD,1,34
2021-11-11,AAPL,0,34
2021-11-11,NFLX,1,34
2021-11-11,TSM,0,34
2021-11-11,KO,0,34
2021-11-11,F,0,34
2021-11-11,COST,1,34
2021-11-11,DIS,0,34
2021-11-11,VZ,0,34
2021-11-11,CRM,1,34
2021-11-11,INTC,0,34
2021-11-11,BA,0,34
2021-11-11,BX,1,34
2021-11-11,NOC,0,34
2021-11-11,PYPL,0,34
2021-11-11,ENPH,1,34
2021-11-11,NIO,1,34
2021-11-11,ZS,1,34
2021-11-11,XPEV,1,34
2021-11-12,TSLA,0,8
2021-11-12,MSFT,1,8
2021-11-12,PG,0,8
2021-11-12,META,1,8
2021-11-12,AMZN,1,8
2021-11-12,GOOG,1,8
2021-11-12,AMD,1,8
2021-11-12,AAPL,1,8
2021-11-12,NFLX,1,8
2021-11-12,TSM,1,8
2021-11-12,KO,0,8
2021-11-12,F,1,8
2021-11-12,COST,1,8
2021-11-12,DIS,0,8
2021-11-12,VZ,0,8
2021-11-12,CRM,1,8
2021-11-12,INTC,0,8
2021-11-12,BA,1,8
2021-11-12,BX,1,8
2021-11-12,NOC,1,8
2021-11-12,PYPL,1,8
2021-11-12,ENPH,1,8
2021-11-12,NIO,0,8
2021-11-12,ZS,1,8
2021-11-12,XPEV,0,8
2021-11-15,TSLA,0,25
2021-11-15,MSFT,0,25
